en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Alcantarea nevaresii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Alcantarea tortuosa,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Alcantarea vinicolor,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Araeococcus montanus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Billbergia brasiliensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Bromelia braunii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Cerrado (lato sensu),,BR-TO,
,,Canistropsis albiflora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES,
,,Canistropsis elata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Canistropsis marceloi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Canistropsis pulcherrima,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Canistrum alagoanum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-AL,
,,Canistrum aurantiacum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-AL|BR-PB|BR-PE,
,,Canistrum camacaense,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Canistrum fosterianum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Canistrum guzmanioides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Canistrum montanum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Canistrum pickelii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-PE,
,,Canistrum triangulare,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus bromelioides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Cryptanthus capitatus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus coriaceus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES,
,,Cryptanthus dorothyae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-ES|BR-RJ,
,,Cryptanthus maritimus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus minarum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-MG,
,,Cryptanthus sinuosus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-RJ,
,,Cryptanthus fosterianus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Decidual|Floresta Estacional Semidecidual,,BR-PE,
,,Deuterocohnia meziana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),native,Vegetação Sobre Afloramentos Rochosos,,BR-MS,
,,Dyckia agudensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Decidual|Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Dyckia delicata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Dyckia distachya,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RS|BR-SC,
,,Dyckia fosteriana,,,Bromeliaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-PR,
,,Dyckia hatschbachii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Restinga,,BR-PR,
,,Dyckia ibiramensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria,,BR-SC,
,,Dyckia maritima,,,Bromeliaceae,Erva|Suculenta,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS,
,,Dyckia martinellii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Dyckia monticola,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-SC,
,,Dyckia rariflora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Dyckia reitzii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RS|BR-SC,
,,Dyckia remotiflora,,,Bromeliaceae,,,,,,,,,,,,,,,,Em Perigo (EN),native,Campo Limpo|Vegetação Sobre Afloramentos Rochosos,,BR-RS|BR-SC,
,,Dyckia ursina,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Eduandrea selloana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Encholirium biflorum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Encholirium disjunctum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-GO,
,,Encholirium gracile,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Encholirium heloisae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Encholirium horridum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-ES|BR-MG|BR-RJ,
,,Encholirium irwinii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Encholirium kranzianum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Encholirium longiflorum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG,
,,Encholirium luxor,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-DF|BR-GO|BR-MG|BR-TO,
,,Encholirium pedicellatum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Encholirium scrutor,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Encholirium splendidum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-BA,
,,Encholirium vogelii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Fernseea bocainensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude,,BR-MG|BR-RJ|BR-SP,
,,Fernseea itatiaiae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude,,BR-MG|BR-RJ|BR-SP,
,,Guzmania monostachia,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),,,,,
,,Guzmania sanguinea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-CE,
,,Hohenbergia castellanosii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-BA,
,,Hohenbergia correia-araujoi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Hohenbergia littoralis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Área Antrópica|Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Cryptanthus caracensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Cryptanthus glazioui,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Aechmea depressa,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Aechmea gustavoi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-BA|BR-PE,
,,Lapanthus duartei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Estacional Semidecidual,,BR-MG,
,,Lymania alvimii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Lymania azurea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Lymania brachycaulis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Lymania corallina,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Lymania globosa,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Lymania spiculata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Neoregelia abendrothae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia angustibracteolata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neoregelia bragarum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia brownii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-MG,
,,Neoregelia coimbrae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia coriacea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia eltoniana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-RJ,
,,Neoregelia fosteriana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia hoehneana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Neoregelia indecora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia inexspectata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neoregelia lactea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia leprosa,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Neoregelia leucophoea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia longipedicellata,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia macahensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia menescalii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neoregelia oligantha,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-MG,
,,Neoregelia paulistana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Neoregelia pernambucana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-PE,
,,Neoregelia petropolitana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Neoregelia roethii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,,,BR-RJ,
,,Neoregelia ruschii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neoregelia sanguinea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neoregelia sapiatibensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-RJ,
,,Neoregelia tenebrosa,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium altimontanum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium angustifolium,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium apiculatum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium atalaiaense,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-RJ,
,,Nidularium azureum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-MG,
,,Nidularium bocainense,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Nidularium corallinum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Nidularium ferrugineum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Nidularium fradense,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium fulgens,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium itatiaiae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium jonesianum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RS|BR-SC|BR-SP,
,,Nidularium kautskyanum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Nidularium mangaratibense,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Nidularium minutum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Nidularium rosulatum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Restinga,,BR-RJ,
,,Nidularium serratum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Nidularium utriculosum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Restinga,,BR-RJ,
,,Nidularium viridipetalum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Orthophytum duartei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Orthophytum foliosum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Orthophytum fosterianum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Orthophytum grossiorum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Orthophytum magalhaesii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Orthophytum zanonii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Pitcairnia albiflos,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Pitcairnia bradei,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Pitcairnia burle-marxii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Pitcairnia corcovadensis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Pitcairnia decidua,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG|BR-RJ,
,,Pitcairnia encholirioides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Pitcairnia glaziovii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-RJ,
,,Pitcairnia insularis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Pitcairnia limae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual,,BR-CE,
,,Pitcairnia staminea,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Pitcairnia suaveolens,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Pitcairnia wendtiae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Portea alatisepala,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Portea fosteriana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-ES,
,,Portea grandiflora,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Portea kermesina,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-BA,
,,Portea nana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Quesnelia kautskyi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Quesnelia lateralis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Quesnelia seideliana,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Cryptanthus caulescens,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus exaltatus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus fernseeoides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus odoratissimus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,,,BR-ES,
,,Cryptanthus pseudoscaposus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus roberto-kautskyi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus scaposus,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Cryptanthus whitmanii,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Orthophytum amoenum,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA,
,,Orthophytum humile,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Vriesea amadoi,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Vriesea brassicoides,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea costae,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea funebris,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Vriesea goniorachis,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Vriesea harrylutheri,,,Bromeliaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
